SNR,Throught
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.168667
-3.75, 0.249333
-3.5, 0.311667
-3.25, 0.361167
-3, 0.366667
-2.75, 0.36697
-2.5, 0.36697
-2.25, 0.367122
-2, 0.368336
-1.75, 0.368943
-1.5, 0.369702
-1.25, 0.370917
-1, 0.374711
-0.75, 0.375774
-0.5, 0.378202
-0.25, 0.379417
0, 0.384272
0.25, 0.399246
0.5, 0.422767
0.75, 0.497397
1, 0.58061
1.25, 0.663143
1.5, 0.720145
1.75, 0.723393
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
