SNR, Throughput
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.168667
-3.75, 0.2475
-3.5, 0.311667
-3.25, 0.361167
-3, 0.364833
-2.75, 0.366667
-2.5, 0.366667
-2.25, 0.366667
-2, 0.366667
-1.75, 0.366667
-1.5, 0.366667
-1.25, 0.366667
-1, 0.366667
-0.75, 0.366667
-0.5, 0.366667
-0.25, 0.366667
0, 0.369437
0.25, 0.380952
0.5, 0.405157
0.75, 0.480874
1, 0.570687
1.25, 0.657698
1.5, 0.718954
1.75, 0.722496
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
