SNR,Throught
-4.5, 0.0055
-4.25, 0.0403333
-4, 0.119524
-3.75, 0.209536
-3.5, 0.298964
-3.25, 0.355482
-3, 0.366839
-2.75, 0.371488
-2.5, 0.373899
-2.25, 0.374167
-2, 0.376577
-1.75, 0.376577
-1.5, 0.37756
-1.25, 0.37997
-1, 0.381577
-0.75, 0.382113
-0.5, 0.382113
-0.25, 0.383274
0, 0.394575
0.25, 0.414273
0.5, 0.460765
0.75, 0.541235
1, 0.650357
1.25, 0.687528
1.5, 0.733333
1.75, 0.733333
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
