SNR,Throught
-4.5, 0
-4.25, 0
-4, 0
-3.75, 0
-3.5, 0
-3.25, 0
-3, 0
-2.75, 0.00366667
-2.5, 0.0385
-2.25, 0.122833
-2, 0.231
-1.75, 0.331833
-1.5, 0.361167
-1.25, 0.363
-1, 0.366667
-0.75, 0.366667
-0.5, 0.366667
-0.25, 0.366667
0, 0.369437
0.25, 0.380952
0.5, 0.405157
0.75, 0.480874
1, 0.570687
1.25, 0.657698
1.5, 0.718954
1.75, 0.722496
2, 0.733333
2.25, 0.733333
2.5, 0.733333
2.75, 0.733333
3, 0.733333
3.25, 0.733333
3.5, 0.733333
3.75, 0.733333
4, 0.733333
4.25, 0.733333
4.5, 0.733333
4.75, 0.733333
5, 0.733333
5.25, 0.733333
5.5, 0.733333
5.75, 0.733333
6, 0.733333
